Brand,Year,Model,Used,Manual Transmission,Cylinder.Engine,Liters.Engine,Fossil Fuel,Kilometres,Asia,Passenger Cars,SUV,Ute Tray,VAN,Doors,Seats,Price
Porsche,1978,911,1,1,6,3.0,1,145600,0,1,0,0,0,2,4,97500
Bentley,1985,Mulsanne,1,0,8,6.8,1,93182,0,1,0,0,0,4,5,49990
Jaguar,1986,Xjsc,1,0,12,5.3,1,136947,0,1,0,0,0,2,2,69990
Mercedes-Benz,1989,560,1,0,8,5.5,1,198000,0,1,0,0,0,2,2,59999
Mercedes-Benz,1989,420,1,0,8,4.2,1,170744,0,1,0,0,0,4,5,24990
Mercedes-Benz,1989,190,1,0,6,2.6,1,150426,0,1,0,0,0,4,5,19990
Honda,1990,Integra,1,0,4,1.8,1,233543,1,1,0,0,0,2,4,4999
BMW,1990,M5,1,1,6,3.5,1,115198,0,1,0,0,0,4,5,71990
Toyota,1991,Landcruiser,1,1,6,4.2,1,450000,1,0,1,0,0,4,8,29800
Toyota,1993,Landcruiser,1,1,6,4.2,1,452920,1,0,1,0,0,2,6,24999
Toyota,1993,Landcruiser,1,0,6,4.5,1,413515,1,0,1,0,0,4,8,12999
Mazda,1994,E2000,1,0,4,2.0,1,183197,1,0,0,0,1,2,3,14999
Toyota,1994,Landcruiser,1,0,6,4.5,1,331794,1,0,1,0,0,4,8,18999
Nissan,1994,300ZX,1,1,6,3.0,1,171146,1,1,0,0,0,2,4,39980
Toyota,1995,Corolla,1,0,4,1.6,1,204004,1,1,0,0,0,5,5,2995
Toyota,1996,Corolla,1,0,4,1.6,1,159657,1,1,0,0,0,4,5,8888
Toyota,1996,Landcruiser,1,1,6,4.2,1,386381,1,0,0,1,0,2,3,22000
Suzuki,1996,Sierra,1,1,4,1.3,1,78881,1,0,1,0,0,2,4,26888
Toyota,1997,Camry,1,0,4,2.2,1,113704,1,1,0,0,0,4,5,8490
BMW,1997,318I,1,1,4,1.8,1,335783,0,1,0,0,0,4,5,6988
Toyota,1998,Landcruiser,1,1,6,4.5,1,252221,1,0,1,0,0,4,8,22990
